candidate	release	tier	batch	ALREADY	CLEAN	CONFLICT	NOBASE	reason	subject
07bf8b92fda067516b7989412f09b75bb39bc113	v0.2.1	3	-	0	5	0	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6550 from weiness/fix/alipay-payment-reconciliation
68f099707e2eb9d7c4e9e7e8176c15a588209345	v0.2.1	2	S05	0	2	0	0	Tool arguments, discovery and bootstrap compatibility	Merge pull request #6553 from wucm667/fix/issue-6547-heartbeat-bootstrap
7b271bbee985e8d62498947811e5886fd93cbc92	v0.2.1	1	F05	0	1	1	0	Passthrough reasoning preservation	Merge pull request #6529 from wucm667/fix/issue-6521-preserve-passthrough-reasoning
c6ff69fd12b4d684350e5834c4ab859d0a0afa99	v0.2.1	3	-	0	3	4	0	Gateway admission-origin diagnostics change error categorization; take with ops diagnostics.	Merge pull request #6542 from wucm667/fix/issue-6530-gateway-concurrency-origin
620eb3fd006918772882dbe57e62702a2cdfd663	v0.2.1	2	S05	0	4	1	0	Tool arguments, discovery and bootstrap compatibility	Merge pull request #6581 from r266-tech/r266/forward-opencode-session
40f4d450beda49d2cedee432a51b26f7bfbc4b07	v0.2.1	3	-	0	2	0	2	GLM effort normalization can matter through compatible endpoints; native CN adapter hunks are absent.	Merge pull request #6507 from wucm667/fix/issue-6501-glm53-thinking-effort
9517f12cdd34b42c499e96d0a97aef668d14edcc	v0.2.1	2	S04	0	7	0	0	Failed session slot release	Merge pull request #6510 from wall-wxk/fix/release-session-slot-on-forward-failure
9b4fcfb897455eebc17812a0af2d365c0c86fc3f	v0.2.1	2	S11	0	5	0	0	Claude CLI version override and cached version floor	Merge pull request #6606 from luckydududu/feat/claude-cli-version-env-override
0d9e7e1530855c93d4d00fc87406960d4a7fefd5	v0.2.1	2	S06	0	13	3	0	Astra model and capability support	Merge pull request #6628 from baryon/contrib/openai-gpt6-astra-capability-sync
cc52c93ad7d60c5364c66bbf8c2efacb253a29d7	v0.2.1	2	S05	0	1	1	0	Tool arguments, discovery and bootstrap compatibility	Merge pull request #6539 from creamtea47/codex/fix-delegation-bootstrap-resume
aafe93b335763e0586f4f30665751c279dc78c73	v0.2.1	2	S10	0	8	0	0	Compact account lists and retained admin UI fixes	Merge pull request #6557 from Ritel-T/pr/compact-admin-account-list
83094abf21c5f5752c3e770bc8c70704737a35ec	v0.2.1	1	F02	0	3	2	0	Mapped model scheduling	Merge pull request #6536 from wucm667/fix/issue-6526-mapped-model-scheduling
2dc287f2e04210209bebe865ebe6f8b42f81f03c	v0.2.1	3	-	0	4	5	1	Cyber-policy recording spans multiple WS modes including missing passthrough base; optional ops work.	Merge pull request #6636 from specialpointcentral/cyber-ws-recording-fix
c42d78e26c42153dac7641d51ddd6fb0977b0b14	v0.2.1	3	-	0	17	8	3	Ultrafast changes service_tier forwarding and pricing; old Fast/group Fast bases remain unported.	Merge pull request #6571 from DuskLin/feat/codex-ultrafast-tier
fb44e2dd091970dc899f59cbc568bed961035d3f	v0.2.1	3	-	0	13	28	6	Reasoning pricing includes a migration and absent billing/context-pricing files; business policy decision required.	Merge pull request #6514 from StarryKira/codex/anthropic-reasoning-pricing
d2f87c612e1820f6d4900a71fda1248c5b3544ed	v0.2.1	3	-	0	13	3	0	URL-to-b64 is a new image download feature; its SSRF and content-sniffing fixes must stay in the same batch.	Merge pull request #6638 from feeeei/feat/images-url-to-b64json-backfill
ed7c8f2208f478907782d2ad646463941d455379	v0.2.1	2	S06	0	11	12	0	Astra model and capability support	Merge pull request #6572 from lyy0709/codex/gpt-6-astra
578785ee7fb35030b094b69624efe25670a36f5f	v0.2.1	1	F07	0	4	0	0	Claude billing fingerprint	Merge pull request #6640 from cyhhao/fix/claude-billing-fingerprint
ab99d56e9626e6cd731592dae8553c9758a0efa2	v0.2.2	4	-	0	0	1	0	Upstream version/sponsor metadata; keep fork version and branding.	chore: sync VERSION to 0.2.1 [skip ci]
a3aa9bae6da021bae11f09bcb563704fc9d5794f	v0.2.2	3	-	0	17	9	2	Pinned-account follow-ups also include live test model discovery; choose this feature before porting its dependent UI fix.	Merge pull request #6662 from ZeroClover/fix/codex-manifest-pinned-accounts
a7d2c782df93b017c50be117d805d6c6c76aef87	v0.2.2	3	-	0	20	11	0	Basic account grouping changes simple-mode boundaries across 31 files; personal grouping preference required.	Merge pull request #5717 from wucm667/feat/issue-2629-current-main
8f7f2b5d9235435d872ad395f13de21798c02b73	v0.2.2	3	-	0	1	1	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6727 from wucm667/feat/issue-6723-subscription-usage-link
ce328fb37a55ee8a28d8a5c07c59e3e2250a0e5b	v0.2.2	3	-	0	4	1	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6670 from ssharkkky/fix/payment-fulfillment-isolation
e274de45b784fc39bac880a57ec61c4b1e361cd3	v0.2.2	1	F06	0	2	0	0	Message cache JSON escaping	Merge pull request #6702 from a1gaoshanlaiyige/fix/message-cache-json-escaping
9578ddbddd863185503bb9a4abf811ccf888a348	v0.2.2	4	-	0	0	0	2	Standalone-input normalization file is absent; this patch fixes that absent normalization path.	Merge pull request #6687 from Chenning-Tao/codex/fix-native-delegation-ws
c0420e2b8a45598c39f957dd7e5ce6c88ac1c814	v0.2.2	1	F10	0	2	0	0	Fable credits model scope	Merge pull request #6484 from aofee/codex/fix-fable-credits-required-scope
959cbe3d87186c80b36a2b8bde44559bf7da17e3	v0.2.2	3	-	0	1	3	0	WS passthrough turn admission depends on its older unported path.	Merge pull request #5453 from wucm667/fix/issue-5451-ws-passthrough-before-turn
8116d235ef62dc1d88e7a2a9603058e87e368cea	v0.2.2	2	S05	0	0	2	0	Tool arguments, discovery and bootstrap compatibility	Merge pull request #6629 from superdav42/fix/preserve-function-arguments-done
027e3f2d54a1e0fedbb1b1b65c09f77941cdebfa	v0.2.2	3	-	0	2	3	0	model_routing manifest follow-up depends on pinned-account catalogue work.	Merge pull request #6688 from suixincrazy/fix/codex-manifest-failover-alias
f09a5b602e57dc712a1ee8df20f569769308e778	v0.2.2	3	-	0	2	0	2	HTTP bridge isolation also changes absent session-preemption machinery; remeasure together with earlier WS passthrough backlog.	Merge pull request #6704 from aofee/codex/fix-http-bridge-session-isolation
f8e1e7fed64bd2966199b86f4f34e69b0517a572	v0.2.2	3	-	0	9	8	1	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6711 from wucm667/fix/issue-6701-model-not-found-failover
787a6a33df3c7a7d17563d1e9d61e3d4800e38e7	v0.2.2	2	S11	0	2	3	1	Claude CLI version override and cached version floor	Merge pull request #6481 from alfadb/fix/claude-cli-version-floor
111c41cf3f345c36a40ed7cbf7f279cb7a2627b0	v0.2.2	3	-	0	12	2	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6684 from SakuraPuare/feat/i18n-build-gate
1f716aa18142880a69790c94008b1e3a3374405c	v0.2.2	3	-	0	2	0	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6667 from ssharkkky/fix/antigravity-user-agent-version
96cf8bd76ab0e062e0b8774ef11d189f1db42761	v0.2.2	3	-	0	2	1	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6665 from ssharkkky/fix/grok-cross-client-map-default-doc
b8ff74ad701c13cb11403f6b3714c9bd5d5e602d	v0.2.2	3	-	0	2	0	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6668 from ssharkkky/fix/channel-monitor-gemini-role
909b8c7ef44cfc7eeae18e37f629c4e58c9b727b	v0.2.2	3	-	0	1	1	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6648 from ouchihao/codex/issue-3667-turnstile-loading
2cc1e7ef900962735992c42e351430abe3a0603e	v0.2.2	1	F09	0	3	0	0	Thinking block binding beta	Merge pull request #6677 from Lynricsy/fix/claude-thinking-block-binding
22c16d0517d1511c95678e5cb6fcf24cc257453b	v0.2.2	3	-	0	0	4	0	Later-turn quota recovery depends on the same passthrough turn state.	Merge pull request #6708 from r266-tech/r266/fix-ws-turn-rate-limit-6679
f7c48ba59a81e8a2dee644866e3ea1cae9f96f2c	v0.2.2	1	F11	0	2	0	0	Antigravity reasoning toolConfig	Merge pull request #6674 from wuji-labs/fix/antigravity-toolconfig-always-present
b9ebc8f20989e5793455d4da64ad336e797b6e35	v0.2.2	3	-	0	3	0	0	Gemini thinking-tier prices depend on which Gemini models are actually routed.	Merge pull request #6637 from varrge/fix/gemini-flash-tier-pricing
c05bc4d3ccb4d52b88e7261df58d03ed5f59aa15	v0.2.2	2	S10	0	1	1	0	Compact account lists and retained admin UI fixes	Merge pull request #6705 from ouchihao/codex/issue-4827-usage-api-key-filter
43491f67a15f2675ea19cf49dd9774a6e1a0b29b	v0.2.2	3	-	0	2	0	1	allowed_tools cleanup needs the older Codex tool-name bridge; do not drop a dependent new test into this fork alone.	Merge pull request #6733 from AndrewZhuCC/fix/codex-allowed-tools
561fc1c3e455e405af4d604339e8e9df4f044445	v0.2.2	2	S06	0	0	4	0	Astra model and capability support	Merge pull request #6718 from lyy0709/codex/astra-ultra-catalog
81c0f11d7a8634e2fd2b04deb6dbb5465e59ea66	v0.2.2	3	-	0	0	3	0	Additional stream-error diagnostic fields are useful only if those ops views are used.	Merge pull request #6736 from qiu121/codex/fix/openai-stream-failure-observability
cbb4b7e53e4bd7e94f09a72325f27250b0360e5c	v0.2.2	2	S06	0	1	1	0	Astra model and capability support	Merge pull request #6678 from gebdalaoli-arch/codex/stale-astra-input-modalities-v021
2b1e5e7f5c65309c57771744754b94ed8d8d0d35	v0.2.2	3	-	0	3	0	0	GLM fallback prices can help compatible endpoints but require actual GLM usage.	Merge pull request #6429 from spin6lock/fix/billing-glm-5.3-flash-fallback-pricing
4bfcbd0c78b92ff498d437b65fa2499ac4550642	v0.2.2	3	-	0	1	1	0	Pending passthrough turns must be considered with #5453 rather than alone.	Merge pull request #6498 from aofee/codex/fix-ws-pending-turn-terminal
71e5a4baf79894ddbfcef04af00e15dfde997d38	v0.2.2	3	-	0	2	1	0	Grok media billing eligibility belongs with the older deferred Grok stability batch.	Merge pull request #6486 from aofee/codex/fix-grok-media-inconclusive-eligibility
3eb5a84ea132c006509a2d98a7e0a57b6523bdb1	v0.2.2	3	-	0	1	5	0	DeepSeek peak pricing depends on older time-price policy; lack of a dedicated platform alone is not an exclusion.	Merge pull request #6700 from qiu121/codex/fix/deepseek-account-cost-peak
88b697d5dfb3de1b42beca811bec5a3c107ebf98	v0.2.2	4	-	0	1	1	1	pg_dump/psql advisory lock serialization has no SQLite counterpart to repair.	Merge pull request #6673 from ssharkkky/fix/backup-migrations-advisory-lock
abf70750fdb697be3e87a59ff19a45f88e0bb570	v0.2.2	3	-	0	3	2	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6669 from ssharkkky/fix/redeem-fixed-failure-window
eba85dc47854c7cb0942173a09177170ea7675eb	v0.2.2	3	-	0	5	2	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6680 from cyhhao/fix/openai-mixed-account-model-list
de69bf1e031a08ffb805e1b82902aa106bd132a8	v0.2.2	3	-	0	4	2	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6655 from ouchihao/codex/issue-275-account-expiry-presets
65246e69d72159f515b9b9d6c60f92bed8434d9b	v0.2.2	3	-	0	1	1	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6643 from MarushiruDonato/fix/codex-manifest-reactive-vmodel
dc46daa690d8a9bfb3718772a7b6b29909ce3a24	v0.2.2	3	-	0	5	7	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6726 from DuskLin/feat/openai-reasoning-effort-mapping-deny
66cd8a72bc9315396d6b84524ff3c3e84054fa22	v0.2.2	3	-	0	5	5	3	Interval/plaza pricing depends on absent context schedule and model-plaza service.	Merge pull request #6738 from Milesians/codex/fix-interval-multiplier-display
10fe591e5477ccce0b7dd8a799f0d6cb0d2a1a0a	v0.2.2	3	-	0	1	0	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6660 from ouchihao/codex/issue-312-onboarding-button-shadow
8193b80a59ada85d8cdff4f1e47a9be48fca6292	v0.2.2	2	S06	0	5	7	1	Astra model and capability support	Merge pull request #6743 from MarushiruDonato/fix/gpt6-astra-instructions
f8351e9e33477287379c37cdd6a2a044feeeb1fc	v0.2.2	3	-	4	33	37	4	Breaking group allowlist policy requires schema, Ent and all endpoint authorization changes; basic grouping needs separate decision.	Merge pull request #6658 from ZeroClover/feat/group-model-allowlist
5485f368b29d05adb95a00f71801c7c23d8f48af	v0.2.2	2	S06	0	3	2	0	Astra model and capability support	Merge pull request #6690 from alfadb/fix/astra-pro-mode
b7dba62678a834080564966c002fd0ca2b328b7a	v0.2.3	4	-	0	0	1	0	Upstream version/sponsor metadata; keep fork version and branding.	chore: sync VERSION to 0.2.2 [skip ci]
b439dddfda4ea696480482a8df97b73260b6006b	v0.2.3	3	-	0	1	1	0	Display names fix depends on live test models introduced with the pinned-account follow-ups.	Merge pull request #6772 from ZeroClover/fix/account-test-model-names
14e0a49e17afebf62c5f788f4ef1dc8eef56ac76	v0.2.3	3	-	0	13	2	2	Ollama can be used via existing OpenAI-compatible accounts; split compatible clamps/auth from absent CN/native adapters.	Merge pull request #6767 from alfadb/fix/ollama-cloud-max-tokens-all-platforms
8fa67d477d6651a744754392a8982ea589c26ae6	v0.2.3	4	-	0	3	0	0	Repairs a PostgreSQL group model_allowlist feature absent from this fork; do not run its DO/plpgsql migration.	Merge pull request #6791 from Wei-Shaw/fix/group-model-allowlist-schema-repair
772a0382f079676983c06f24b0d41e09139a8462	v0.2.4	4	-	0	0	1	0	Upstream version/sponsor metadata; keep fork version and branding.	chore: sync VERSION to 0.2.3 [skip ci]
dbe92a1c241a03c77e2b218761369ff988b8356b	v0.2.4	4	-	0	9	81	19	MiniMax needs the absent CN platform registry, quota services and migration; no platform to fix locally.	Merge pull request #6758 from DuskLin/feat/minimax-platform
28b807a7353154d09f48b084e757ed866824d6f4	v0.2.4	2	S08	0	2	0	0	Proxy update, fallback and date validity	Merge pull request #6816 from Pluviobyte/codex/fix-repeated-proxy-fallback
4892b8f17edcda6a4355ded98c190ac5775982b9	v0.2.4	2	S08	0	7	0	0	Proxy update, fallback and date validity	Merge pull request #6810 from Pluviobyte/codex/fix-announcement-proxy-date-range
3ee92b40c5fc34e1254f304219f1da4881b8d00e	v0.2.4	2	S10	0	0	3	0	Compact account lists and retained admin UI fixes	Merge pull request #6659 from ouchihao/codex/issue-77-remove-inactive-groups
6378fb0cbaff51c968470ef2fe5271e79d59b9fc	v0.2.4	2	S10	0	2	2	1	Compact account lists and retained admin UI fixes	Merge pull request #6798 from savvym/codex/fix-account-menu-overflow
979fe247f9026db677598de170f93d6e1930215e	v0.2.4	2	S10	0	3	2	0	Compact account lists and retained admin UI fixes	Merge pull request #6821 from 22zyfeng-collab/fix/antigravity-oauth-plan-type
9bcf8a5b801badd8ab39f200ee559b08ec57d2ff	v0.2.4	3	-	0	4	1	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6760 from wucm667/feat/issue-6752-weekly-cost-estimate
b6384452347fb6d240fe25dbfca202ca77e6acfb	v0.2.4	2	S02	0	2	0	0	Client cancellation lifecycle	Merge pull request #6754 from ccemoji/codex/minimal-upstream-fix
1923d1c27d411beb5ad8c1fb875900e06c8ec11c	v0.2.4	2	S12	0	3	1	0	go-redis client update	Merge pull request #6814 from feeeei/fix/go-redis-pool-nil-ctx-panic
9e7039ebca5d4cd668ca1868becbd243d14f3c65	v0.2.4	2	S08	0	8	0	0	Proxy update, fallback and date validity	Merge pull request #6811 from Pluviobyte/codex/fix-proxy-partial-update
1e6114c27090a8a9b5f55276feb32c28aa228ba9	v0.2.4	3	-	0	1	3	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6812 from Pluviobyte/codex/fix-model-plaza-subscriptions
68773aab9862256a274b5a78e76c73d93847cb60	v0.2.4	2	S10	0	2	0	0	Compact account lists and retained admin UI fixes	Merge pull request #6764 from ouchihao/codex/issue-1499-select-failed-token-refresh
fa556700c28f1a73b5e1cef101afbfcf611a218f	v0.2.4	3	-	0	2	0	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6762 from ouchihao/codex/issue-2045-payment-help-markdown
ae4cc14b280e91f407b12a141c768d88d6c535ab	v0.2.4	2	S10	0	2	0	0	Compact account lists and retained admin UI fixes	Merge pull request #6819 from LeeeeeeM/codex/fix-registration-visibility
5cbb9191a76394d6c3a95ec8a83b2f8e80265802	v0.2.4	2	S08	0	1	1	0	Proxy update, fallback and date validity	Merge pull request #6836 from r266-tech/fix-proxy-expiry-json-range
aa167a25a7ec3bf27acf1814f64e9157f55197fb	v0.2.4	4	-	0	1	0	2	Plugin ZIP reader is absent; Windows fix has no local target.	Merge pull request #6775 from xlplbo/fix/plugin-zip-handle-windows
4e9b01fd59b6621c4e02e5ab44dc93ce52c8534d	v0.2.4	1	F08	0	4	0	0	Claude max_tokens=1 probes	Merge pull request #6838 from atogumo/fix/claude-code-probe-any-model
e2fd418a964206c374586740025bade1d5493a07	v0.2.4	1	F01	0	1	3	0	429 reset / fallback	Merge pull request #6372 from clansty/fix/openai-oauth-429-fallback-disabled
15557e779637f5de073a5c757bcdac2f1f1a009f	v0.2.4	4	-	1	7	2	2	Cross-instance channel invalidation broadcast is unnecessary for this single-process fork.	Merge pull request #6235 from StarryKira/codex/fix-6232-channel-cache-invalidation
43569bb44c3eea843cec5fcacf0688961cd97f6b	v0.2.4	2	S02	0	3	1	0	Client cancellation lifecycle	Merge pull request #6434 from swjturay/codex/upstream-client-disconnect-drain
95acbf1f031a291335c60515ee368014139da113	v0.2.4	2	S09	0	17	1	0	Bound system log persistence	Merge pull request #6424 from cyhhao/fix/bound-ops-system-log-storage
52f7bcaedddd5294d88eb76d7964e3c2fd8a12c2	v0.2.4	3	-	0	8	16	0	Monitor TTFT neutrality can be extracted, but ranking visibility has no single-user benefit.	Merge pull request #6759 from ssharkkky/feat/cmv2-user-ranking-toggle
6f0d0ababc64f79f06b6a532b1f0d041b1716d94	v0.2.4	2	S03	0	3	1	0	Persisted cooldown reconciliation	Merge pull request #6320 from spongehah/fix/runtime-block-honor-persisted-cooldown
29646ba6b4e6b3355ca59cb17141b6ac3e92f206	v0.2.4	3	-	0	9	0	0	Grok media eligibility is an optional media feature.	Merge pull request #6488 from aofee/codex/feat-grok-media-eligibility-ui
c54897a59dfe3faa819f2a33117aa423353e2a1e	v0.2.4	2	S08	0	11	2	0	Proxy update, fallback and date validity	Merge pull request #6815 from Pluviobyte/codex/fix-directed-proxy-backups
f9d78267112d7a4637643f310ac9093f13b554ef	v0.2.4	3	-	0	5	0	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6513 from anguobao123/codex/optional-apple-container-network-subnet
233f3dffe64b0748ea7d610ccca4bdb44544051d	v0.2.4	3	-	0	2	3	0	New LongStream profile has no production setter in v0.2.4; existing OpenAI H2 already has PING. Wiring and measurements needed.	Merge pull request #6281 from wuji-labs/feat/http2-long-stream-keepalive
d9efbf8229c955e252138d10a279725f6a691fbb	v0.2.4	3	-	0	0	2	0	Remove unsupported Grok external_web_access only after checking the fork-specific Grok conversion route.	Merge pull request #6839 from mason0510/fix/grok-external-web-access
775348b402b8612203310fec6456c79ce3503837	v0.2.4	3	-	0	1	1	0	Optional feature/UI/provider follow-up; defer until its workflow is used, see candidate title and file audit.	Merge pull request #6706 from ouchihao/codex/issue-3679-draggable-custom-page-button
570106ac17cecfbca95a460bd5047d43e8c0aafc	v0.2.4	4	-	0	0	4	0	Upstream version/sponsor metadata; keep fork version and branding.	chore: update sponsors
270eac6973049fe1b50eb75560a74a029e82884c	v0.2.4	4	-	0	0	4	0	Upstream version/sponsor metadata; keep fork version and branding.	chore: update sponsors
5de5e2bed035d43591a2e10e51f420ef6a84eb98	v0.2.4	3	-	0	9	8	1	Image 2.5 and OAuth image routing are optional; main after release already reworks the route.	Merge pull request #6874 from hansnow/fix/gpt-image-2-5-oauth
