sha	subject
f3bbb95310fe01ef29f5f86f7b7eeea991cc443e	fix(groups): react immediately to Codex manifest edits and unify dialog toggles
3aeab296d8ec9a07bdaacdab80cfcaf011f6c15d	fix(onboarding): remove button text shadows
cb31033972023e596d1f16f6fd944b3ca09a6478	feat(openai): reuse pinned accounts for standard model discovery
32bf3d0f33c39e2ca8a9ca5816daccf620dc3e92	fix(settings): describe Grok cross-client mapping default as enabled
a6430bfe20ce5ebb7c8e625d49c5540c5c8b53f0	fix(antigravity): refresh default user agent version
c7343d2aa26274fda4d95646ba7315c5f59f4e49	fix(monitors): send explicit user role in Gemini monitor probes
666a5c6f877a306c4743310c04dc5f400656f7a5	fix(redeem): use a fixed 10-minute failure window
7a70de401c01ffdd8c58357451d772f757d4ec2b	fix(payment): isolate fulfillment from redeem limits
95023e7d49cde9f740a4875b3c5d2582ea230628	fix(backup): serialize pg_dump/psql with the migrations advisory lock
58e35a4f327e82fe4f4c9de9e53c0e53a7fd7bad	fix(antigravity): always set toolConfig for reasoning models without tools
7ae0312091520ce46aea4fe0016f57e14c17d730	fix(claude): 🐛 补齐 thinking block binding beta
8a469478659b0a87405193afa89df0e0a9f3302f	Fix stale official Astra input modalities
f49a3935667e1a081cd0d2f5b9669cd429c2a597	fix(openai): retain default models in mixed account catalogs
b3ad9b67cfb3bd7d419a924725ef6bbf2a6f2f5a	fix(i18n): fail builds on missing locale keys
a3675552bd1af0eadb42b6992f1258ecf8d6faf2	feat(simple-mode): allow basic account grouping
05ad6b49a1605ca0aa3c5eee597139a1037bd450	fix(simple-mode): enforce basic group capabilities
f46038820bc29197ebf9f39e10138021e26f70f9	fix(simple-mode): enforce group capability allowlist
4a4fd35e0cb82765059d8409fa29736ca30eef74	fix(simple-mode): guard non-empty group deletion
985428d9d2f5fabb7aa99b10ac702f3e41dfae5d	fix(openai): preserve named standalone Responses inputs
28167bbf8596dc031e0cea70077611890cb8940a	fix(openai): honor model_routing for Codex manifests and scheduling
958a21ad6e2eddae4b1ebafa68c24dee8666092a	fix(billing): 修复 DeepSeek 高峰账号成本少计
0b061c5fa133bf930981816d483d563231a63952	fix(gateway): use JSON escaping for message cache promotion
96884dd1aee34c9c76dbe827476dcaa3bb83ad86	fix(openai-ws): isolate HTTP bridge connection state
dc6b318c343dfc4e7b5cb2a4c4b4b6455b23237a	fix(usage): load all API keys for record filters
76efc52fb6ca8a88b3eb1c7a643426a3e210c60c	feat(custom-page): make the open-link button draggable
b8ed24508555406a34b0bbc9c980ff158362d678	fix(openai-ws): recover later turns from quota exhaustion
8363d537e0dd88a749e1faa7a3f47ca3b4f91cfd	fix(gateway): fail over model-not-found responses
f88d62ad282bd6dceffa93924e81543cf481c9ff	fix(openai): use live account models in connection tests
2db78bd3d68f58968d73b664c289c79ebee71aee	fix(codex): preserve Astra Ultra workflow metadata
b59f3bf46c66a24b6c59260092d66d2d871c7173	fix(simple-mode): enforce basic group boundaries
415a0dc9d0cae3bda18bb1c1573e16de999eb3bf	fix: display multiplier-only interval prices
f62ec2e4a0f7ad7f92359971ef52c80bfb974b48	feat(groups): 推理强度映射转发值支持拒绝
8c8fd6e298521f1032a739d42cb0acdf0b8a1522	feat(admin): link subscriptions to user usage
2e31d8b702aa4d27e2c71e3066d7c6c612ae2025	fix(codex): preserve allowed_tools selection constraints
ff758f37d2e751aa26183c6b4473974eb5c69971	fix: preserve plaza 1h pricing and align interval fallbacks
ad4b2f30f591e4aa9bf331cc450e4ffd9b02aaf9	test(codex): assert alias workflow effort before dereferencing
6aabbdf547d305bc3d22acfa5529e47087b12892	fix(openai): 记录流式失败的上游诊断信息
d03c42d7986cad7170d9e4751852287e84ec3374	fix: size plaza pricing columns to fit cache prices
b939fa9d4a2128f06be9a9e86bbdfd70659d1ee9	fix(openai): select GPT-6 Astra instructions correctly
3cb2381bdc9fafcc895f331212fd25fb74847983	fix(claude): 让伪装的 Claude Code 版本真正生效，修复 Fable 5.1 仍然 400
ce157b32ed584bd91b1edafcf305ca5fb84c52ed	fix(claude): 指纹自愈路径同样执行 claude-cli 版本下限
3efeba33a47a9cfc51faac6057806a50cabee12d	test(claude): 版本覆盖用例字面量随内置基线升至 2.1.259
be4ab92b2bdcd3e27fbe819546665dd15723912e	fix: cancel streaming upstream before closing body
0aaed397cc62cca9d954ba33e1715725cdbeccf7	fix: preserve Astra reasoning mode for Codex OAuth
19382f275e8fdc05a655e3e20fbd688bb9a7ec2a	feat(minimax): 增加 MiniMax 平台支持
0d3dbae710f7106e4b79d970e3a2f495850d88b2	feat(channel-monitor-v2): add user ranking toggle and keep missing TTFT neutral
35e69af41b13f42c391f36bea0beb405bec26e7e	feat(accounts): show estimated OpenAI weekly cost
b491c3271bd0ca33da9131528c6a85cfcb08015f	fix: rename redeemMaxErrorsPerHour to redeemMaxFailedAttempts in tests
f6d580200a5442e2da6e4954b60208351cf50ed8	fix: update #6688 test assertions for #6678 image modality and #6718 ultra level
6f2295bfc7a29367e3a300909c75bc79720804f1	test(minimax): 按平台注册表推导调度器 snapshot 期望数量
dfb3978b9d95c174b3402da0f8f5358ae29a9388	feat(payment): render help text as sanitized Markdown
7f0f579bb0a4e71c2041e9ff1fc16de4b1883fac	fix(accounts): keep failed token refresh accounts selected
941a0487abc30ff9c66af5056244b25087d15b17	fix(accounts): allow removing inactive group assignments
b7dba62678a834080564966c002fd0ca2b328b7a	chore: sync VERSION to 0.2.2 [skip ci]
cc91155fe4cb7dcb37228be034749924750465c8	fix(ollama): clamp DeepSeek output limits across API protocols
2fc24d8879951d571e540718aa011c30ccd7b9a6	fix(ollama): normalize Messages base URLs before token clamping
57387445f3cf204717d9b15b3e8a863c52d1115d	fix(ollama): select Bearer auth for Anthropic endpoints automatically
e094a3f40b1c84b78c5f6298004145587a3ba2a0	fix(accounts): populate display names for live test models
335fcdc1d657f93833a5fd8183f9acb2ed142fc0	fix(plugin): 提交插件包前先关闭 ZIP 读取器
b42157a725fa9079192c1d1badc12a8647f6ff52	test(service): 修正 Windows 下两例环境相关用例
4a7739acdf4ff12a1683c74a9e99163d15f7d11c	fix(db): converge groups.model_allowlist on upgrade
772a0382f079676983c06f24b0d41e09139a8462	chore: sync VERSION to 0.2.3 [skip ci]
df64b5f368cce77b5ebc32a86084dd1f8dd40dbf	fix(frontend): keep account action menu within viewport
efc6e4a816df82189f8e866c8a56b4b3f2032378	fix: validate announcement and proxy date ranges
3fc08745a6a41dc8e77a526e4585d7b6cf045f22	fix(model-plaza): include active subscription groups
38cfd7e2d94decaa2c185169955f996d9990dc37	fix(proxies): preserve omitted expiry and fallback settings
99eba19ffce4b661f4720c139da40434784d374e	fix: 升级 go-redis 至 v9.22.0 修复连接池 nil-ctx panic
e835f7981981a9be8a09bf072fcc7118655ad685	fix(proxies): make backup references directed and shareable
859de4c8fddb1afe3aaebba0a7b0fcf48eaa46eb	fix(proxies): allow repeated expiry fallback and preserve origin
7137fae2a63d20a95f75f0c6ca8eb89b3feab1b4	test(proxies): preserve incoming references when editing backups
6c8ad0bd4a05914065c4cd22800e6624eac32b73	fix: respect registration visibility on login
b6ee9f0a320cbdd980c68e916ff551e1feb573a0	fix(antigravity): preserve OAuth subscription plan across account creation
c8deeb0b0571fb22f9c1b17b2481800633ece8d0	fix(grok): 移除 Chat Completions 中不支持的 external_web_access 参数
3495635a52bb0009ad15b4a6990ac3d2b1c43811	fix(minimax): 补齐阈值停调与额度监控接线
10940ecf39bf67000c668b07facd6321ec7fb21e	fix(minimax): gofmt MiniMax allowlist comments
188e3a9f90498ce6104ce0158486f34f9b57b9d7	fix(proxies): reject malformed list responses
4e5d67df358cf698134ad71ec317892c25caa9ed	fix(gateway): accept Claude Code max_tokens=1 probes for any model
570106ac17cecfbca95a460bd5047d43e8c0aafc	chore: update sponsors
270eac6973049fe1b50eb75560a74a029e82884c	chore: update sponsors
7ccc8a6f5047a819ad5e57f0feaae4bd6f65840b	fix(openai): 支持 Image 2.5 并修复 OAuth 生图主控模型
