PR	SHA	tier	batch	four_state	note
6960	3fb03cdac	第四档	openai	NOBASE	WS session-preemption/exec-scope subsystem absent (nothing to fix)
6988	642d20b8a	第四档	openai	NOBASE	codex manifest display picker absent (FetchOpenAIAccountModels/fromManifest absent)
7126	fb90414c0	第四档	openai	CONFLICT	Responses Lite namespace already covered (fork scans additional_tools+tool_search_output superset)
6850	87e01596b	第四档	monitor	CONFLICT	channel-monitor-v2 UTC buckets PG-only (date_bin/TIMESTAMPTZ)
6499	264cbbec2	第四档	monitor	CONFLICT	setup PG maintenance-DB bootstrap; fork setup is SQLite-only
7006	bae37a00f	第四档	monitor	CONFLICT	errcheck on PG-bootstrap tests absent in fork (depends on 6499)
7062	749cd7c35	第四档	monitor	CONFLICT	add minimax to monitor allowlist; MonitorProvider CN bases absent
7110	0a215c931	第四档	monitor	CLEAN	batch-image access cache scope — reverted upstream by 7148
7148	1be482c31	第四档	monitor	ALREADY	revert of 7110 — net no-op pair, skip both
6902	501cc19d0	第四档	billing	CONFLICT	apple-container self-update deploy (macOS; off-target for Linux 1C1G)
6257	badfad8b7	第四档	auth	CLEAN	promo through OAuth — test-only for a feature the fork never implemented
